time,roll,pitch
0.07,0.02,-0.81
0.20,0.00,-0.81
0.23,0.01,-0.81
0.27,0.26,-0.90
0.30,0.53,-1.01
0.33,0.63,-1.13
0.36,0.68,-1.14
0.40,0.67,-1.17
0.43,0.66,-1.16
0.47,0.65,-1.15
0.50,0.65,-1.14
0.54,0.65,-1.15
0.57,0.62,-1.17
0.60,0.58,-1.20
0.64,0.55,-1.22
0.67,0.52,-1.24
0.70,0.50,-1.28
0.73,0.48,-1.29
0.77,0.46,-1.31
0.80,0.44,-1.33
0.83,0.41,-1.34
0.86,0.37,-1.33
0.90,0.36,-1.30
0.93,0.36,-1.27
0.96,0.36,-1.29
1.00,0.38,-1.28
1.03,0.37,-1.29
1.06,0.34,-1.33
1.09,0.28,-1.35
1.13,0.25,-1.37
1.16,0.22,-1.38
1.19,0.19,-1.38
1.22,0.14,-1.40
1.26,0.12,-1.40
1.29,0.10,-1.37
1.32,0.05,-1.36
1.36,-0.03,-1.44
1.39,-0.10,-1.49
1.43,-0.21,-1.52
1.46,-0.26,-1.53
1.49,-0.31,-1.56
1.53,-0.33,-1.58
1.56,-0.35,-1.61
1.60,-0.45,-1.67
1.63,-0.55,-1.69
1.66,-0.63,-1.71
1.70,-0.65,-1.75
1.73,-0.54,-1.66
1.76,-0.54,-1.61
1.80,-0.42,-1.61
1.83,-0.46,-1.64
1.86,-0.60,-1.73
1.90,-0.72,-1.84
1.93,-0.89,-1.90
1.97,-1.13,-1.96
2.00,-1.28,-1.93
2.04,-1.44,-1.66
2.07,-1.43,-1.51
2.11,-1.63,-1.57
2.14,-1.71,-1.68
2.18,-1.74,-1.95
2.21,-1.60,-2.16
2.25,-1.24,-2.48
2.28,-0.86,-2.65
2.31,-0.67,-2.77
2.34,-0.69,-2.75
2.37,-0.95,-2.68
2.40,-1.42,-2.58
2.43,-1.81,-2.55
2.46,-2.02,-2.65
2.49,-2.04,-2.77
2.53,-1.94,-2.99
2.56,-1.86,-3.16
2.59,-1.76,-3.28
2.62,-1.80,-3.31
2.65,-1.92,-3.35
2.68,-2.10,-3.35
2.72,-2.41,-3.48
2.75,-2.65,-3.66
2.78,-2.86,-3.82
2.81,-2.95,-3.96
2.84,-2.91,-3.99
2.88,-2.69,-3.96
2.91,-2.50,-3.97
2.94,-2.61,-4.07
2.97,-2.84,-4.30
3.00,-3.03,-4.39
3.03,-3.15,-4.48
3.07,-3.22,-4.56
3.10,-3.20,-4.54
3.13,-3.00,-4.29
3.16,-2.97,-4.32
3.19,-2.83,-4.51
3.22,-2.89,-4.75
3.25,-2.93,-5.06
3.28,-3.03,-5.38
3.32,-3.08,-5.62
3.35,-3.15,-5.76
3.38,-3.20,-5.78
3.41,-3.21,-5.81
3.44,-3.28,-5.86
3.48,-3.18,-5.86
3.51,-3.06,-6.08
3.54,-3.01,-6.31
3.57,-2.87,-6.61
3.61,-2.75,-6.87
3.64,-2.68,-7.04
3.67,-2.73,-7.06
3.71,-2.91,-6.96
3.74,-3.25,-6.77
3.77,-3.55,-6.74
3.80,-3.78,-6.72
3.84,-4.03,-6.68
3.87,-4.30,-6.63
3.90,-4.41,-6.51
3.94,-4.47,-6.39
3.97,-4.50,-6.41
4.00,-4.41,-6.55
4.03,-4.58,-6.50
4.07,-4.91,-6.32
4.10,-5.40,-6.11
4.13,-5.60,-6.02
4.16,-5.70,-5.92
4.20,-5.70,-5.84
4.23,-5.41,-5.93
4.26,-5.13,-6.04
4.29,-5.16,-6.12
4.33,-5.35,-6.05
4.36,-5.37,-6.07
4.39,-5.25,-6.13
4.42,-5.08,-6.30
4.46,-4.70,-6.51
4.49,-4.27,-6.82
4.52,-3.88,-7.13
4.56,-3.66,-7.49
4.59,-3.60,-7.78
4.62,-3.62,-7.93
4.65,-3.89,-7.93
4.68,-4.24,-7.77
4.71,-4.51,-7.57
4.74,-4.40,-7.58
4.77,-4.19,-7.78
4.80,-3.98,-8.03
4.83,-3.71,-8.27
4.86,-3.54,-8.49
4.89,-3.50,-8.63
