time,roll,pitch
1.81,0.82,-2.64
1.93,0.82,-2.64
1.96,0.83,-2.63
1.99,0.82,-2.64
2.02,0.82,-2.63
2.05,0.82,-2.63
2.08,0.82,-2.63
2.11,0.82,-2.62
2.14,0.82,-2.62
2.16,0.83,-2.62
2.19,0.83,-2.62
2.22,0.82,-2.63
2.25,0.83,-2.62
2.28,0.84,-2.62
2.31,0.83,-2.62
2.34,0.84,-2.62
2.36,0.85,-2.62
2.40,0.87,-2.62
2.43,0.88,-2.61
2.45,0.91,-2.60
2.48,0.96,-2.58
2.51,1.04,-2.52
2.54,1.18,-2.45
2.57,1.38,-2.39
2.60,1.58,-2.33
2.63,1.80,-2.28
2.67,1.98,-2.24
2.70,2.16,-2.20
2.73,2.30,-2.15
2.76,2.46,-2.12
2.80,2.51,-2.11
2.83,2.49,-2.11
2.86,2.45,-2.05
2.90,2.46,-1.98
2.93,2.46,-1.86
2.97,2.51,-1.74
3.00,2.72,-1.56
3.04,2.94,-1.44
3.07,3.30,-1.36
3.11,3.66,-1.38
3.14,4.24,-1.49
3.18,4.72,-1.60
3.21,5.36,-1.62
3.24,5.67,-1.53
3.28,5.72,-1.27
3.31,5.51,-0.91
3.35,5.12,-0.59
3.38,4.60,-0.22
3.42,3.88,0.27
3.45,3.23,0.67
3.49,2.92,0.95
3.52,2.73,1.19
3.56,2.69,1.47
3.59,2.86,1.72
3.63,3.05,1.83
3.66,3.29,1.92
3.69,3.56,1.91
3.72,3.84,1.86
3.76,4.23,1.79
3.79,4.53,1.72
3.82,4.76,1.71
3.85,4.96,1.70
3.88,5.06,1.79
3.91,5.07,1.92
3.94,5.07,2.14
3.97,4.99,2.40
3.99,4.92,2.55
4.02,4.86,2.79
4.05,4.79,3.01
4.07,4.76,3.12
4.10,4.80,3.30
4.13,4.89,3.44
4.15,4.94,3.49
4.18,5.18,3.71
4.21,5.37,3.92
4.23,5.51,4.07
4.26,5.69,4.31
4.29,5.85,4.51
4.32,6.08,4.63
4.35,6.36,4.69
4.38,6.68,4.68
4.41,7.07,4.67
4.44,7.42,4.69
4.47,7.73,4.76
4.50,7.97,4.87
4.53,8.16,5.04
4.56,8.30,5.21
4.59,8.40,5.36
4.62,8.50,5.54
4.65,8.56,5.69
4.68,8.59,5.88
4.71,8.61,6.12
4.74,8.61,6.38
4.77,8.60,6.69
4.80,8.62,7.02
4.83,8.65,7.34
4.86,8.68,7.62
4.89,8.78,7.80
4.91,8.87,7.91
4.94,9.08,8.00
4.97,9.33,8.00
5.00,9.66,8.00
5.03,10.02,7.95
5.06,10.35,7.90
5.09,10.66,7.90
5.12,10.91,7.91
5.15,11.10,7.95
5.18,11.27,8.03
5.21,11.38,8.13
5.24,11.47,8.24
5.27,11.52,8.33
5.30,11.55,8.47
5.34,11.58,8.63
5.37,11.49,8.89
5.40,11.39,9.14
5.43,11.26,9.38
5.46,11.13,9.60
5.49,11.06,9.81
5.52,11.01,9.98
5.55,11.00,10.10
5.58,11.03,10.20
5.61,11.08,10.23
5.64,11.17,10.23
5.67,11.29,10.20
5.70,11.44,10.13
5.73,11.61,10.03
5.76,11.78,9.94
5.79,11.97,9.87
5.83,12.14,9.80
5.86,12.34,9.74
5.89,12.45,9.69
5.92,12.53,9.64
5.95,12.60,9.61
5.98,12.65,9.58
6.01,12.69,9.54
6.04,12.77,9.54
6.07,12.83,9.54
6.10,12.88,9.54
