time,roll,pitch
0.07,0.34,-2.70
0.19,0.33,-2.80
0.22,0.35,-2.88
0.25,0.36,-2.99
0.28,0.35,-3.12
0.30,0.33,-3.27
0.33,0.33,-3.44
0.37,0.35,-3.63
0.40,0.38,-3.81
0.43,0.40,-3.99
0.46,0.40,-4.17
0.49,0.41,-4.33
0.52,0.41,-4.47
0.55,0.41,-4.60
0.58,0.42,-4.75
0.61,0.39,-4.96
0.65,0.35,-5.12
0.68,0.36,-5.30
0.71,0.38,-5.50
0.74,0.41,-5.68
0.77,0.42,-5.88
0.80,0.40,-6.10
0.84,0.42,-6.22
0.87,0.44,-6.33
0.91,0.45,-6.51
0.94,0.44,-6.69
0.98,0.39,-6.97
1.01,0.40,-7.18
1.04,0.39,-7.56
1.07,0.37,-7.81
1.10,0.35,-8.00
1.14,0.38,-8.14
1.17,0.36,-8.16
1.21,0.35,-8.13
1.24,0.40,-8.18
1.28,0.38,-8.37
1.31,0.35,-8.63
1.35,0.34,-9.08
1.38,0.38,-9.49
1.41,0.39,-10.07
1.45,0.40,-10.47
1.48,0.42,-10.86
1.51,0.39,-11.18
1.55,0.34,-11.60
1.59,0.28,-11.92
1.62,0.30,-12.09
1.66,0.37,-12.29
1.70,0.40,-12.47
1.73,0.41,-12.60
1.77,0.36,-12.79
1.81,0.29,-12.98
1.84,0.27,-13.40
1.88,0.28,-13.70
1.92,0.33,-14.18
1.96,0.32,-14.69
2.00,0.33,-15.18
2.03,0.34,-15.53
2.07,0.38,-15.92
2.10,0.37,-16.17
2.13,0.33,-16.36
2.17,0.28,-16.53
2.20,0.25,-16.69
2.23,0.26,-16.86
2.27,0.31,-16.99
2.30,0.34,-17.18
2.33,0.32,-17.36
2.37,0.28,-17.64
2.40,0.26,-17.89
2.44,0.27,-18.17
2.47,0.30,-18.59
2.51,0.29,-19.00
2.54,0.27,-19.33
2.58,0.25,-19.73
2.61,0.25,-19.98
2.65,0.27,-20.21
2.68,0.28,-20.28
2.72,0.27,-20.34
2.76,0.25,-20.36
2.79,0.23,-20.38
2.83,0.24,-20.43
2.86,0.25,-20.50
2.90,0.25,-20.65
2.94,0.24,-20.79
2.97,0.23,-21.02
3.01,0.22,-21.19
3.04,0.21,-21.40
3.08,0.22,-21.57
3.12,0.22,-21.67
3.15,0.21,-21.77
3.19,0.21,-21.83
3.22,0.20,-21.89
3.26,0.21,-21.93
3.30,0.21,-21.96
3.33,0.20,-21.99
3.37,0.19,-22.01
3.41,0.19,-22.04
3.45,0.17,-22.05
3.49,0.17,-22.10
3.52,0.17,-22.13
3.56,0.16,-22.19
3.60,0.16,-22.25
3.64,0.17,-22.32
3.68,0.16,-22.39
3.72,0.15,-22.46
3.76,0.14,-22.50
3.80,0.15,-22.53
3.85,0.15,-22.51
3.89,0.15,-22.47
3.93,0.15,-22.42
3.97,0.14,-22.35
4.01,0.15,-22.30
4.05,0.17,-22.28
4.09,0.17,-22.30
4.13,0.15,-22.39
4.17,0.17,-22.48
4.21,0.18,-22.56
4.25,0.18,-22.61
4.29,0.16,-22.70
4.33,0.16,-22.73
4.37,0.16,-22.73
4.42,0.15,-22.70
4.46,0.15,-22.64
4.50,0.15,-22.55
4.54,0.16,-22.39
4.58,0.16,-22.19
4.62,0.16,-21.94
4.66,0.16,-21.68
4.69,0.17,-21.40
4.73,0.19,-21.21
4.76,0.19,-21.00
4.80,0.18,-20.87
4.84,0.20,-20.76
4.87,0.21,-20.69
4.91,0.20,-20.61
4.94,0.21,-20.54
4.98,0.21,-20.47
5.01,0.22,-20.34
5.05,0.23,-20.21
5.09,0.24,-20.00
5.12,0.24,-19.82
5.16,0.26,-19.55
5.19,0.26,-19.24
5.23,0.25,-19.00
5.26,0.26,-18.67
5.30,0.28,-18.40
5.33,0.29,-18.04
5.37,0.28,-17.75
5.40,0.29,-17.34
5.44,0.30,-17.00
5.47,0.31,-16.67
5.51,0.31,-16.34
5.54,0.32,-15.94
5.57,0.30,-15.65
5.60,0.31,-15.29
5.64,0.31,-15.01
5.68,0.33,-14.64
5.72,0.34,-14.26
5.76,0.33,-13.87
5.79,0.34,-13.42
5.83,0.35,-13.08
5.87,0.37,-12.63
5.91,0.40,-12.20
5.94,0.38,-11.79
5.98,0.38,-11.50
6.02,0.39,-11.10
6.05,0.41,-10.79
6.08,0.43,-10.48
6.12,0.44,-10.03
6.15,0.43,-9.79
6.18,0.42,-9.19
6.22,0.43,-8.80
6.25,0.43,-8.29
6.29,0.41,-7.95
6.32,0.40,-7.63
6.35,0.40,-7.29
6.38,0.43,-7.13
6.42,0.47,-6.85
6.45,0.46,-6.63
6.48,0.45,-6.41
6.52,0.43,-6.09
6.55,0.45,-5.82
6.59,0.47,-5.40
6.62,0.47,-5.06
6.65,0.47,-4.71
6.68,0.45,-4.37
6.71,0.46,-4.02
6.74,0.48,-3.71
6.77,0.47,-3.42
6.80,0.45,-3.11
6.83,0.42,-2.84
6.86,0.40,-2.65
6.89,0.42,-2.61
6.91,0.43,-2.64
6.94,0.43,-2.69
6.97,0.40,-2.66
7.00,0.42,-2.60
7.02,0.44,-2.54
7.05,0.43,-2.47
7.08,0.41,-2.45
7.11,0.41,-2.46
7.14,0.42,-2.44
7.17,0.41,-2.39
7.20,0.42,-2.39
7.23,0.42,-2.40
7.26,0.41,-2.37
7.30,0.41,-2.35
7.33,0.41,-2.36
7.36,0.41,-2.34
7.39,0.41,-2.33
7.42,0.41,-2.33
