time,roll,pitch
0.09,0.70,-0.89
0.23,0.69,-0.89
0.27,0.69,-0.89
0.31,0.64,-0.96
0.35,0.59,-1.08
0.39,0.59,-1.09
0.43,0.56,-1.12
0.47,0.54,-1.17
0.51,0.53,-1.26
0.55,0.52,-1.25
0.59,0.51,-1.22
0.62,0.52,-1.20
0.66,0.50,-1.22
0.70,0.49,-1.24
0.74,0.47,-1.24
0.77,0.47,-1.25
0.81,0.49,-1.25
0.85,0.48,-1.27
0.89,0.50,-1.24
0.92,0.56,-1.19
0.96,0.57,-1.11
1.00,0.54,-1.14
1.04,0.50,-1.19
1.07,0.45,-1.25
1.11,0.39,-1.30
1.15,0.33,-1.36
1.18,0.26,-1.43
1.22,0.22,-1.58
1.26,0.17,-1.74
1.29,0.10,-1.85
1.33,0.08,-1.94
1.37,0.12,-1.96
1.41,0.14,-2.05
1.45,0.24,-2.14
1.48,0.48,-2.39
1.52,0.56,-2.89
1.55,0.60,-3.29
1.59,0.56,-3.56
1.62,0.37,-3.47
1.65,0.26,-3.18
1.69,0.09,-2.91
1.72,-0.01,-2.85
1.75,0.03,-2.97
1.79,0.14,-3.31
1.82,0.33,-3.68
1.85,0.50,-4.02
1.89,0.52,-4.09
1.92,0.49,-3.87
1.96,0.43,-3.37
1.99,0.40,-3.05
2.03,0.44,-2.98
2.06,0.49,-3.25
2.09,0.54,-3.57
2.13,0.55,-3.88
2.16,0.52,-4.18
2.20,0.49,-4.36
2.23,0.49,-4.51
2.27,0.50,-4.57
2.30,0.48,-4.65
2.34,0.47,-4.73
2.37,0.52,-5.15
2.41,0.53,-5.44
2.44,0.52,-5.75
2.48,0.52,-5.91
2.52,0.52,-5.89
2.56,0.54,-5.65
2.60,0.50,-5.57
2.63,0.46,-5.67
2.67,0.45,-5.81
2.71,0.43,-5.97
2.74,0.45,-6.13
2.78,0.48,-6.30
2.82,0.50,-6.44
2.86,0.47,-6.54
2.90,0.42,-6.51
2.94,0.43,-6.54
2.98,0.44,-6.63
3.02,0.46,-6.84
3.06,0.46,-7.10
3.10,0.46,-7.28
3.13,0.46,-7.37
3.17,0.46,-7.26
3.20,0.54,-6.88
3.24,0.64,-6.73
3.28,0.59,-6.76
3.32,0.55,-6.88
3.36,0.52,-7.04
3.39,0.50,-7.17
3.43,0.54,-7.33
3.46,0.59,-7.48
3.50,0.61,-7.60
3.53,0.60,-7.74
3.57,0.49,-7.91
3.60,0.43,-8.17
3.64,0.41,-8.48
3.68,0.47,-8.68
3.72,0.62,-8.71
3.76,0.73,-8.63
3.80,0.89,-8.68
3.84,0.79,-8.72
3.88,0.69,-8.81
3.92,0.62,-8.83
3.96,0.61,-8.87
4.00,0.61,-8.92
4.03,0.66,-9.00
4.07,0.76,-9.10
4.11,0.83,-9.08
4.15,0.78,-9.19
4.19,0.77,-9.36
4.23,0.85,-9.49
4.27,0.86,-9.61
4.31,0.77,-9.63
4.35,0.67,-9.60
4.39,0.68,-9.54
4.43,0.67,-9.50
4.47,0.66,-9.47
4.51,0.63,-9.50
4.55,0.66,-9.61
4.58,0.69,-9.79
4.62,0.69,-9.99
4.66,0.68,-10.17
4.70,0.67,-10.23
4.74,0.70,-10.22
4.78,0.75,-10.06
4.82,0.75,-10.06
4.86,0.77,-10.08
4.90,0.80,-10.11
4.94,0.80,-10.16
4.98,0.80,-10.16
5.02,0.82,-10.14
5.05,0.85,-10.06
5.09,0.86,-10.06
5.13,0.84,-10.08
5.17,0.83,-10.15
5.21,0.84,-10.25
5.25,0.84,-10.33
5.29,0.85,-10.38
5.33,0.87,-10.42
5.37,0.88,-10.43
5.40,0.87,-10.40
5.44,0.74,-10.23
5.48,0.69,-10.20
5.52,0.65,-10.20
5.56,0.70,-10.22
5.60,0.77,-10.23
5.64,0.81,-10.23
5.67,0.81,-10.21
5.71,0.76,-10.18
5.75,0.74,-10.14
5.79,0.76,-10.11
5.83,0.80,-10.08
5.87,0.82,-10.07
5.91,0.80,-10.09
5.95,0.78,-10.13
5.99,0.78,-10.15
6.02,0.79,-10.16
6.06,0.81,-10.16
6.10,0.81,-10.16
6.14,0.80,-10.17
6.18,0.79,-10.15
6.22,0.80,-10.12
6.26,0.81,-10.06
6.30,0.81,-9.95
6.34,0.79,-9.80
6.38,0.77,-9.61
6.41,0.75,-9.42
6.45,0.76,-9.25
6.49,0.73,-9.05
6.53,0.66,-8.86
6.57,0.58,-8.67
6.61,0.55,-8.53
6.65,0.71,-8.63
6.69,0.65,-8.98
6.73,0.63,-9.01
6.77,0.60,-8.78
6.81,0.57,-8.50
6.85,0.56,-8.25
6.89,0.57,-8.07
6.93,0.56,-7.76
6.96,0.56,-7.45
7.00,0.67,-7.28
7.03,0.68,-7.40
7.07,0.71,-7.35
7.10,0.73,-7.27
7.14,0.67,-7.01
7.17,0.57,-6.83
7.21,0.46,-6.59
7.25,0.36,-6.37
7.29,0.23,-6.42
7.33,0.30,-6.48
7.37,0.55,-6.55
7.41,0.69,-6.29
7.45,0.73,-6.05
7.49,0.74,-5.85
7.53,0.64,-5.62
7.57,0.44,-5.57
7.60,0.29,-5.40
7.64,0.13,-5.40
7.67,0.06,-5.33
7.71,0.17,-5.19
7.75,0.27,-5.16
7.78,0.52,-4.99
7.82,0.55,-4.71
7.85,0.57,-4.34
7.89,0.59,-4.14
7.92,0.44,-4.05
7.96,0.36,-4.00
7.99,0.23,-4.09
8.03,0.14,-4.20
8.06,0.21,-4.13
8.10,0.29,-3.98
8.13,0.34,-3.79
8.17,0.38,-3.51
8.21,0.38,-3.29
8.24,0.36,-3.14
8.27,0.34,-3.03
8.31,0.26,-3.04
8.34,0.23,-3.12
8.37,0.23,-3.06
8.41,0.27,-2.83
8.44,0.32,-2.65
8.47,0.37,-2.41
8.50,0.47,-2.28
8.54,0.51,-2.29
8.58,0.38,-2.28
8.61,0.22,-2.25
8.65,0.18,-2.15
8.69,0.16,-1.99
8.73,0.19,-1.83
8.76,0.22,-1.71
8.80,0.25,-1.54
8.83,0.28,-1.38
8.87,0.30,-1.26
8.91,0.34,-1.26
8.95,0.50,-1.40
8.98,0.51,-1.41
9.02,0.56,-1.41
9.06,0.59,-1.31
9.10,0.63,-1.20
9.13,0.65,-1.14
9.17,0.59,-1.19
9.21,0.57,-1.15
9.25,0.60,-1.10
9.29,0.62,-1.02
9.32,0.64,-0.98
9.36,0.65,-0.96
9.40,0.67,-0.93
9.44,0.66,-0.92
9.47,0.63,-0.96
9.51,0.58,-0.99
9.55,0.52,-1.12
9.59,0.50,-1.14
9.63,0.50,-1.15
9.66,0.50,-1.15
9.70,0.50,-1.13
9.74,0.51,-1.10
9.78,0.52,-1.09
9.81,0.52,-1.10
9.85,0.52,-1.09
