time,roll,pitch
0.09,0.50,-2.32
0.22,0.35,-2.33
0.26,0.29,-2.33
0.29,0.26,-2.34
0.33,0.23,-2.33
0.37,0.18,-2.34
0.40,0.06,-2.36
0.44,-0.14,-2.40
0.48,-0.28,-2.42
0.51,-0.51,-2.43
0.55,-0.67,-2.42
0.58,-0.97,-2.40
0.62,-1.37,-2.39
0.66,-1.74,-2.39
0.69,-2.22,-2.38
0.73,-2.70,-2.37
0.77,-3.11,-2.35
0.81,-3.49,-2.36
0.85,-3.74,-2.36
0.89,-4.14,-2.35
0.93,-4.60,-2.36
0.96,-5.17,-2.35
1.00,-5.69,-2.35
1.04,-6.08,-2.33
1.08,-6.54,-2.33
1.12,-6.99,-2.33
1.15,-7.38,-2.33
1.19,-7.78,-2.30
1.23,-8.09,-2.30
1.27,-8.34,-2.32
1.30,-8.58,-2.31
1.34,-8.79,-2.30
1.38,-9.02,-2.30
1.41,-9.27,-2.30
1.44,-9.59,-2.30
1.48,-9.94,-2.27
1.52,-10.23,-2.28
1.55,-10.68,-2.30
1.59,-11.17,-2.28
1.63,-11.55,-2.27
1.67,-12.05,-2.27
1.71,-12.54,-2.30
1.74,-12.99,-2.27
1.78,-13.29,-2.23
1.82,-13.62,-2.27
1.86,-13.94,-2.27
1.89,-14.18,-2.22
1.93,-14.30,-2.23
1.97,-14.35,-2.24
2.01,-14.34,-2.23
2.05,-14.26,-2.21
2.08,-14.15,-2.22
2.12,-14.05,-2.22
2.16,-13.98,-2.22
2.20,-13.92,-2.21
2.24,-13.91,-2.21
2.28,-13.91,-2.21
2.31,-13.95,-2.20
2.35,-13.98,-2.20
2.39,-14.00,-2.19
2.43,-14.04,-2.19
2.47,-14.08,-2.18
2.50,-14.11,-2.18
2.54,-14.11,-2.17
2.58,-14.09,-2.18
2.62,-14.06,-2.17
2.66,-14.03,-2.16
2.69,-14.02,-2.16
2.73,-14.02,-2.16
2.77,-14.02,-2.15
2.81,-14.04,-2.14
2.85,-14.05,-2.15
2.88,-14.07,-2.15
2.92,-14.06,-2.14
2.96,-14.00,-2.14
3.00,-13.86,-2.16
3.04,-13.56,-2.16
3.07,-13.11,-2.15
3.11,-12.72,-2.15
3.15,-12.14,-2.16
3.19,-11.63,-2.14
3.23,-11.29,-2.12
3.27,-10.81,-2.12
3.30,-10.58,-2.12
3.34,-10.46,-2.10
3.38,-10.39,-2.09
3.42,-10.34,-2.07
3.45,-10.29,-2.08
3.49,-10.22,-2.07
3.53,-10.06,-2.06
3.57,-9.90,-2.06
3.60,-9.60,-2.04
3.64,-9.26,-2.04
3.68,-8.88,-2.04
3.71,-8.60,-2.02
3.75,-8.22,-2.03
3.79,-7.87,-2.02
3.83,-7.54,-2.04
3.87,-7.19,-2.03
3.91,-6.83,-2.02
3.95,-6.46,-2.03
3.99,-6.15,-2.03
4.02,-5.73,-2.03
4.07,-5.17,-2.01
4.11,-4.71,-2.00
4.15,-4.37,-2.01
4.18,-3.91,-1.99
4.22,-3.48,-2.01
4.26,-3.07,-2.00
4.30,-2.69,-1.97
4.34,-2.32,-1.97
4.38,-1.97,-1.98
4.42,-1.65,-1.97
4.46,-1.35,-1.96
4.50,-1.06,-1.94
4.54,-0.78,-1.85
4.58,-0.57,-1.78
4.62,-0.49,-1.78
4.66,-0.51,-1.78
4.70,-0.53,-1.79
4.74,-0.48,-1.79
4.77,-0.38,-1.78
4.81,-0.21,-1.77
4.85,-0.21,-1.77
4.89,-0.28,-1.79
4.93,-0.20,-1.78
4.97,-0.10,-1.77
5.01,-0.12,-1.78
5.05,-0.16,-1.78
5.09,-0.12,-1.78
5.13,-0.07,-1.79
5.16,-0.08,-1.79
5.20,-0.10,-1.80
