time,roll,pitch
0.58,1.14,-2.18
0.69,1.07,-1.80
0.72,1.04,-1.59
0.76,1.02,-1.32
0.79,1.04,-0.84
0.82,1.06,-0.42
0.85,1.06,0.03
0.89,1.04,0.50
0.92,1.01,1.09
0.95,0.98,1.50
0.98,0.95,1.87
1.01,0.93,2.21
1.04,0.91,2.52
1.07,0.90,2.83
1.10,0.91,3.15
1.13,0.92,3.46
1.16,0.92,3.79
1.19,0.93,4.12
1.22,0.94,4.44
1.25,0.94,4.74
1.28,0.91,5.03
1.31,0.89,5.29
1.34,0.85,5.54
1.37,0.85,5.71
1.40,0.85,6.08
1.43,0.79,6.33
1.45,0.75,6.49
1.48,0.75,6.69
1.50,0.78,7.01
1.53,0.81,7.20
1.55,0.81,7.40
1.57,0.77,7.72
1.60,0.76,7.94
1.62,0.77,8.23
1.64,0.78,8.41
1.67,0.79,8.58
1.69,0.80,8.81
1.71,0.81,8.96
1.74,0.80,9.10
1.76,0.79,9.33
1.79,0.77,9.51
1.81,0.78,9.80
1.83,0.80,10.00
1.86,0.81,10.23
1.88,0.80,10.60
1.91,0.79,10.85
1.93,0.78,11.22
1.96,0.78,11.47
1.98,0.79,11.85
2.01,0.79,12.08
2.03,0.80,12.44
2.06,0.81,12.79
2.09,0.80,13.02
2.11,0.80,13.37
2.14,0.80,13.72
2.17,0.80,13.96
2.20,0.80,14.29
2.22,0.80,14.63
2.25,0.77,14.83
2.28,0.76,15.16
2.30,0.79,15.44
2.33,0.79,15.57
2.35,0.82,15.71
2.38,0.90,15.90
2.40,0.93,16.04
2.43,0.92,16.12
2.45,0.88,16.17
2.48,0.82,16.25
2.51,0.82,16.33
2.53,0.85,16.41
2.56,0.87,16.47
2.59,0.89,16.55
2.61,0.90,16.62
2.64,0.89,16.64
2.67,0.88,16.65
2.69,0.87,16.65
2.72,0.89,16.63
2.75,0.90,16.62
2.78,0.91,16.60
2.80,0.90,16.59
2.83,0.88,16.59
2.86,0.88,16.59
2.88,0.88,16.59
2.91,0.90,16.59
2.94,0.91,16.59
2.97,0.92,16.59
2.99,0.91,16.59
3.02,0.91,16.60
3.05,0.91,16.62
3.07,0.90,16.63
3.10,0.90,16.65
3.13,0.91,16.66
3.16,0.93,16.68
3.18,0.93,16.69
3.21,0.94,16.69
3.24,0.93,16.69
3.26,0.92,16.71
3.29,0.92,16.70
3.32,0.92,16.69
3.35,0.93,16.66
3.37,0.94,16.62
3.40,0.94,16.59
3.43,0.94,16.53
3.45,0.93,16.47
3.48,0.93,16.43
3.51,0.92,16.36
3.53,0.92,16.31
3.56,0.93,16.22
3.59,0.95,16.13
3.61,0.96,16.05
3.64,0.96,15.93
3.66,0.96,15.80
3.69,0.96,15.71
3.71,0.96,15.61
3.74,0.95,15.47
3.76,0.96,15.37
3.79,0.97,15.21
3.81,0.97,15.10
3.84,0.97,14.91
3.87,0.97,14.70
3.89,0.97,14.55
3.92,0.96,14.34
3.94,0.96,14.10
3.97,0.97,13.95
4.00,0.99,13.74
4.02,0.98,13.52
4.05,0.98,13.38
4.08,0.97,13.18
4.11,0.98,12.99
4.13,0.99,12.85
4.16,0.98,12.64
4.19,0.97,12.47
4.21,0.93,12.33
4.24,0.91,12.14
4.26,0.93,11.94
4.29,0.95,11.79
4.32,0.96,11.57
4.34,0.96,11.40
4.37,0.94,11.15
4.39,0.94,10.98
4.42,0.95,10.73
4.44,0.95,10.57
4.47,0.94,10.32
4.49,0.94,10.17
4.52,0.94,10.01
4.54,0.93,9.77
4.57,0.91,9.55
4.59,0.90,9.41
4.61,0.90,9.27
4.64,0.91,9.08
4.66,0.90,8.94
4.69,0.90,8.82
4.71,0.89,8.63
4.73,0.91,8.50
4.76,0.91,8.30
4.78,0.91,8.16
4.80,0.90,8.01
4.83,0.89,7.78
4.85,0.89,7.63
4.88,0.89,7.46
4.90,0.89,7.21
4.92,0.89,7.03
4.95,0.90,6.86
4.97,0.90,6.61
4.99,0.89,6.44
5.02,0.90,6.18
5.05,0.91,6.01
5.07,0.90,5.76
5.10,0.88,5.53
5.13,0.86,5.33
5.16,0.91,5.14
5.19,0.96,4.94
5.23,0.99,4.78
5.26,0.99,4.57
5.29,0.94,4.38
5.32,0.91,4.18
5.35,0.90,3.96
5.38,0.93,3.74
5.41,0.96,3.51
5.44,0.99,3.29
5.47,0.99,3.05
5.50,0.97,2.81
5.53,0.95,2.59
5.56,0.94,2.34
5.59,0.94,2.11
5.62,0.93,1.89
5.65,0.92,1.68
5.68,0.92,1.49
5.71,0.94,1.32
5.74,0.95,1.16
5.78,0.96,0.99
5.81,0.97,0.75
5.84,0.97,0.54
5.87,0.96,0.31
5.91,0.95,0.08
5.94,0.94,-0.25
5.97,0.92,-0.52
6.00,0.90,-0.79
6.04,0.90,-1.06
6.07,0.94,-1.40
6.10,0.98,-1.63
6.13,1.02,-1.80
6.16,1.04,-1.85
6.20,1.04,-1.79
6.23,1.04,-1.74
6.26,1.04,-1.80
6.29,1.04,-1.88
6.32,1.03,-1.93
6.35,1.06,-1.95
6.38,1.08,-1.96
6.41,1.06,-1.97
6.44,1.06,-2.02
6.48,1.08,-2.06
6.51,1.08,-2.07
6.54,1.07,-2.08
6.57,1.08,-2.10
6.60,1.09,-2.12
6.63,1.09,-2.13
6.66,1.09,-2.16
6.69,1.09,-2.18
6.72,1.08,-2.19
6.75,1.08,-2.21
6.78,1.08,-2.23
6.81,1.08,-2.24
6.84,1.08,-2.25
6.87,1.08,-2.26
6.90,1.08,-2.28
6.93,1.08,-2.29
6.96,1.08,-2.30
6.99,1.07,-2.30
7.02,1.07,-2.30
7.05,1.08,-2.32
7.08,1.08,-2.33
