time,roll,pitch
1.58,1.42,-1.36
1.72,1.42,-1.15
1.76,1.41,-1.03
1.81,1.11,-0.62
1.85,0.84,-0.22
1.89,0.85,-0.02
1.93,0.86,0.01
1.97,0.90,-0.21
2.01,0.91,-0.37
2.06,0.82,-0.26
2.10,0.78,0.04
2.14,0.79,0.28
2.18,0.79,0.56
2.22,0.78,0.85
2.26,0.80,1.07
2.30,0.90,1.07
2.34,0.95,0.91
2.38,0.97,0.67
2.42,0.90,0.74
2.46,0.82,0.95
2.50,0.76,1.17
2.54,0.75,1.36
2.58,0.73,1.61
2.62,0.75,1.79
2.65,0.79,1.97
2.69,0.89,1.99
2.72,0.98,1.87
2.76,0.90,1.73
2.80,0.93,2.00
2.83,0.88,2.31
2.87,0.85,2.42
2.91,0.81,2.57
2.95,0.79,2.68
2.98,0.78,2.58
3.02,0.83,2.62
3.06,0.85,2.91
3.09,0.85,3.21
3.13,0.82,3.42
3.17,0.77,3.39
3.21,0.66,3.33
3.24,0.64,3.23
3.27,0.58,3.26
3.31,0.58,3.47
3.34,0.60,3.78
3.38,0.64,4.01
3.41,0.70,4.30
3.45,0.66,4.34
3.49,0.63,4.14
3.52,0.61,4.12
3.56,0.65,4.15
3.59,0.67,4.34
3.63,0.68,4.60
3.66,0.68,4.74
3.70,0.66,4.93
3.74,0.67,4.97
3.77,0.62,4.89
3.81,0.59,5.04
3.85,0.59,5.32
3.89,0.55,5.48
3.92,0.56,5.51
3.96,0.58,5.56
3.99,0.69,5.51
4.03,0.72,5.38
4.06,0.72,5.35
4.10,0.54,5.23
4.14,0.27,5.14
4.17,0.11,5.26
4.21,0.31,5.23
4.25,0.60,5.03
4.28,0.74,4.98
4.32,0.73,4.90
4.36,0.66,4.91
4.39,0.58,5.02
4.43,0.50,5.13
4.47,0.50,5.24
4.50,0.48,5.29
4.54,0.47,5.29
4.58,0.47,5.27
4.61,0.48,5.27
4.65,0.50,5.26
4.69,0.51,5.26
4.72,0.51,5.28
4.76,0.50,5.30
4.80,0.48,5.31
4.83,0.48,5.33
4.87,0.46,5.34
4.91,0.47,5.33
4.95,0.47,5.31
4.98,0.47,5.28
5.02,0.46,5.30
5.06,0.49,5.36
5.10,0.50,5.49
5.14,0.51,5.62
5.17,0.51,5.65
5.21,0.50,5.56
5.25,0.52,5.34
5.28,0.51,5.03
5.32,0.49,4.90
5.36,0.50,4.86
5.40,0.56,4.90
5.43,0.61,5.11
5.47,0.66,5.20
5.51,0.66,5.09
5.55,0.70,4.94
5.58,0.71,4.81
5.62,0.71,4.64
5.66,0.72,4.51
5.70,0.72,4.45
5.73,0.71,4.38
5.77,0.70,4.43
5.80,0.68,4.55
5.84,0.67,4.44
5.88,0.66,4.33
5.91,0.69,4.21
5.95,0.71,4.06
5.98,0.73,3.97
6.02,0.73,3.95
6.06,0.71,4.04
6.09,0.73,4.01
6.13,0.75,3.93
6.16,0.74,3.80
6.20,0.72,3.66
6.23,0.73,3.57
6.27,0.71,3.53
6.30,0.75,3.57
6.34,0.77,3.74
6.37,0.76,3.69
6.41,0.75,3.60
6.45,0.75,3.50
6.48,0.76,3.29
6.52,0.77,3.13
6.55,0.78,2.92
6.59,0.81,2.89
6.62,0.83,2.89
6.66,0.85,2.93
6.70,0.86,2.88
6.74,0.87,2.74
6.78,0.83,2.65
6.81,0.79,2.55
6.85,0.78,2.52
6.89,0.77,2.44
6.92,0.79,2.42
6.96,0.83,2.45
7.00,0.88,2.37
7.03,0.94,2.27
7.07,0.93,2.12
7.11,0.94,1.97
7.15,0.94,1.79
7.18,0.93,1.85
7.22,0.90,1.89
7.26,0.87,1.80
7.30,0.84,1.75
7.33,0.80,1.66
7.37,0.81,1.56
7.41,0.82,1.37
7.45,0.84,1.26
7.49,0.90,1.28
7.53,0.97,1.31
7.57,1.01,1.22
7.61,1.03,1.22
7.65,1.04,1.01
7.69,1.01,0.78
7.73,0.98,0.58
7.78,0.95,0.52
7.82,0.90,0.62
7.86,0.88,0.74
7.90,0.84,0.72
7.94,0.82,0.51
7.98,0.85,0.26
8.03,0.89,0.04
8.07,0.92,-0.10
8.11,0.95,-0.15
8.15,1.00,-0.11
8.19,1.03,-0.26
8.23,1.08,-0.43
8.27,1.05,-0.66
8.32,1.00,-0.87
8.36,0.86,-1.00
8.40,0.71,-1.01
8.44,0.66,-0.84
8.48,0.73,-0.75
8.52,0.85,-0.75
8.56,0.93,-0.85
8.60,0.96,-0.98
8.64,0.93,-1.04
8.68,0.89,-1.07
8.73,0.85,-1.13
8.77,0.84,-1.19
8.81,0.85,-1.24
8.85,0.85,-1.34
8.89,0.85,-1.32
8.93,0.87,-1.33
8.97,0.88,-1.29
9.02,0.86,-1.29
9.06,0.84,-1.31
9.10,0.83,-1.32
9.14,0.81,-1.31
9.18,0.82,-1.32
9.22,0.82,-1.35
9.26,0.81,-1.36
9.30,0.81,-1.37
9.35,0.81,-1.38
9.39,0.81,-1.39
9.43,0.81,-1.39
9.47,0.81,-1.40
9.51,0.81,-1.41
9.55,0.80,-1.41
9.59,0.80,-1.41
9.63,0.80,-1.41
9.68,0.80,-1.41
9.72,0.80,-1.41
9.76,0.80,-1.42
9.80,0.81,-1.41
9.84,0.81,-1.42
9.88,0.80,-1.42
9.92,0.80,-1.43
9.97,0.81,-1.43
10.01,0.80,-1.44
10.05,0.80,-1.44
10.09,0.81,-1.44
10.13,0.81,-1.45
