time,roll,pitch
0.09,0.79,-2.46
0.22,0.83,-2.45
0.25,0.84,-2.46
0.29,0.84,-2.46
0.32,0.86,-2.46
0.35,0.89,-2.46
0.39,0.93,-2.45
0.42,1.00,-2.45
0.46,1.06,-2.45
0.49,1.10,-2.45
0.52,1.14,-2.44
0.56,1.17,-2.44
0.59,1.24,-2.44
0.62,1.31,-2.44
0.66,1.41,-2.42
0.69,1.61,-2.40
0.73,1.81,-2.40
0.76,2.13,-2.42
0.81,2.48,-2.41
0.85,2.92,-2.42
0.89,3.18,-2.43
0.93,3.54,-2.42
0.96,3.92,-2.45
1.00,4.21,-2.46
1.03,4.51,-2.45
1.07,4.91,-2.46
1.11,5.29,-2.46
1.14,5.65,-2.46
1.18,5.91,-2.47
1.21,6.27,-2.48
1.25,6.52,-2.46
1.28,6.86,-2.49
1.32,7.26,-2.50
1.36,7.58,-2.48
1.39,8.03,-2.48
1.43,8.36,-2.50
1.46,8.79,-2.51
1.50,9.09,-2.51
1.53,9.39,-2.53
1.56,9.81,-2.52
1.59,10.13,-2.53
1.63,10.53,-2.56
1.66,10.89,-2.57
1.70,11.44,-2.57
1.73,11.86,-2.58
1.77,12.35,-2.57
1.80,12.81,-2.60
1.84,13.09,-2.62
1.87,13.44,-2.60
1.91,13.66,-2.59
1.94,13.94,-2.63
1.98,14.15,-2.63
2.01,14.39,-2.62
2.05,14.59,-2.63
2.09,14.83,-2.65
2.12,15.00,-2.64
2.16,15.29,-2.64
2.20,15.62,-2.67
2.22,15.92,-2.68
2.25,16.15,-2.69
2.28,16.43,-2.68
2.31,16.67,-2.69
2.34,16.96,-2.70
2.37,17.21,-2.71
2.40,17.48,-2.72
2.43,17.75,-2.71
2.46,17.99,-2.72
2.49,18.13,-2.73
2.52,18.19,-2.73
2.55,18.15,-2.73
2.58,18.05,-2.73
2.61,17.92,-2.72
2.64,17.77,-2.73
2.67,17.61,-2.74
2.70,17.49,-2.76
2.73,17.42,-2.75
2.76,17.37,-2.74
2.79,17.36,-2.76
2.82,17.39,-2.78
2.85,17.43,-2.78
2.88,17.48,-2.77
2.91,17.55,-2.76
2.94,17.61,-2.78
2.97,17.65,-2.79
3.00,17.68,-2.79
3.03,17.70,-2.79
3.06,17.71,-2.79
3.09,17.71,-2.81
3.12,17.71,-2.81
3.15,17.71,-2.81
3.18,17.70,-2.82
3.21,17.70,-2.83
3.24,17.69,-2.84
3.27,17.67,-2.85
3.30,17.68,-2.86
3.33,17.68,-2.87
3.36,17.68,-2.87
3.39,17.69,-2.88
3.42,17.69,-2.90
3.45,17.70,-2.90
3.48,17.71,-2.91
3.51,17.71,-2.91
3.54,17.70,-2.91
3.57,17.68,-2.93
3.59,17.68,-2.93
3.62,17.66,-2.93
3.65,17.65,-2.94
3.68,17.65,-2.96
3.71,17.64,-2.96
3.74,17.63,-2.96
3.77,17.63,-2.96
3.80,17.62,-2.97
3.83,17.61,-2.99
3.86,17.58,-2.99
3.89,17.56,-2.99
3.92,17.52,-2.99
3.95,17.47,-3.00
3.98,17.42,-3.01
4.01,17.36,-3.01
4.04,17.29,-3.00
4.07,17.22,-3.01
4.10,17.14,-3.01
4.13,17.05,-3.02
4.16,16.94,-3.03
4.19,16.83,-3.03
4.22,16.73,-3.03
4.25,16.62,-3.02
4.28,16.50,-3.01
4.31,16.43,-3.02
4.34,16.30,-3.03
4.37,16.17,-3.03
4.39,16.01,-3.03
4.43,15.82,-3.02
4.47,15.65,-3.00
4.50,15.43,-2.97
4.54,15.22,-3.01
4.57,15.00,-3.03
4.61,14.75,-2.99
4.64,14.55,-2.99
4.68,14.29,-3.00
4.72,14.07,-3.01
4.75,13.80,-2.99
4.79,13.59,-2.99
4.82,13.28,-2.98
4.86,13.06,-2.99
4.89,12.74,-3.00
4.93,12.51,-3.00
4.96,12.20,-2.98
5.00,11.96,-2.98
5.03,11.65,-2.98
5.07,11.41,-2.99
