time,roll,pitch
0.08,-0.10,-1.27
0.20,-0.08,-1.26
0.24,-0.06,-1.27
0.27,0.14,-1.29
0.30,0.36,-1.30
0.34,0.43,-1.33
0.37,0.45,-1.32
0.40,0.46,-1.32
0.44,0.45,-1.29
0.47,0.44,-1.28
0.50,0.44,-1.29
0.54,0.43,-1.31
0.57,0.44,-1.32
0.60,0.45,-1.31
0.64,0.46,-1.29
0.67,0.47,-1.29
0.70,0.49,-1.29
0.73,0.51,-1.30
0.77,0.55,-1.31
0.80,0.57,-1.29
0.83,0.57,-1.29
0.87,0.59,-1.29
0.90,0.61,-1.29
0.93,0.63,-1.29
0.97,0.68,-1.28
1.00,0.71,-1.27
1.04,0.76,-1.25
1.07,0.78,-1.24
1.11,0.79,-1.25
1.14,0.84,-1.23
1.18,0.91,-1.22
1.21,0.97,-1.20
1.25,1.02,-1.22
1.29,1.05,-1.23
1.32,1.14,-1.22
1.35,1.25,-1.23
1.39,1.43,-1.26
1.43,1.59,-1.28
1.46,1.83,-1.25
1.50,1.98,-1.23
1.53,2.01,-1.20
1.57,1.98,-1.23
1.60,2.11,-1.09
1.64,2.25,-1.12
1.67,2.29,-1.17
1.71,2.27,-1.23
1.75,2.15,-1.32
1.79,2.18,-1.33
1.82,2.36,-1.31
1.86,2.63,-1.28
1.90,2.84,-1.29
1.93,3.08,-1.29
1.97,3.22,-1.23
2.01,3.17,-1.06
2.04,3.09,-0.91
2.08,3.34,-0.92
2.12,3.56,-0.93
2.15,3.83,-0.98
2.19,3.99,-1.01
2.22,4.01,-1.14
2.26,4.09,-1.25
2.29,4.16,-1.30
2.33,4.27,-1.26
2.36,4.62,-1.18
2.40,4.74,-0.98
2.44,4.83,-0.84
2.47,4.89,-0.81
2.51,4.87,-0.95
2.54,4.85,-1.13
2.58,5.00,-1.21
2.61,5.27,-1.40
2.65,5.57,-1.43
2.68,5.85,-1.37
2.72,5.88,-1.19
2.76,5.69,-0.79
2.79,5.60,-0.56
2.83,5.72,-0.48
2.86,5.81,-0.70
2.90,5.95,-0.98
2.93,6.05,-1.27
2.97,6.31,-1.31
3.01,6.53,-1.28
3.04,6.72,-1.27
3.08,6.81,-1.10
3.11,6.78,-0.86
3.15,6.78,-0.70
3.19,6.88,-0.77
3.22,6.93,-1.02
3.26,7.03,-1.19
3.29,7.14,-1.41
3.33,7.31,-1.46
3.36,7.48,-1.47
3.39,7.49,-1.35
3.43,7.34,-1.05
3.46,7.27,-0.93
3.50,7.19,-0.90
3.53,7.19,-0.87
3.57,7.19,-0.99
3.60,7.14,-1.19
3.64,7.11,-1.37
3.67,7.09,-1.40
3.70,7.03,-1.36
3.74,6.97,-1.31
